Berufsbezeichnung,Jährlicher Durchschnitt Männlich (Brutto),Jährlicher Durchschnitt Weiblich (Brutto),Diskrepanz
Bereichsleiter/in,107204.4,102456.92,-4747.48
Exportsachbearbeiter/in,65049.23,60327.32,-4721.91
Küchenhilfe,40966.5,36269.88,-4696.62
Betriebsmechaniker/in,70193.85,65538.46,-4655.39
Hotelkaufmann/frau,59600,54952.88,-4647.12
Zimmermann,60201.01,55716.92,-4484.09
Senior Legal Counsel,140000,135589.74,-4410.26000000001
Monteur/in,64494.73,60090.73,-4404
Bauleiter/in,80775.25,76371.48,-4403.77
Buchhändler/in,73649.88,69251.13,-4398.75
Junior Controller/in,75762.82,71406.59,-4356.23000000001
Heizungsmonteur/in,61645.31,57314.69,-4330.62
Sachbearbeiter/in Kundendienst,62956.39,58685.18,-4271.21
Reifenmonteur/in,45803.79,41538.46,-4265.33
IT Consultant,110309.09,106110.09,-4199
Controller/in,95819.87,91706.45,-4113.42
Detailhandelsfachfrau/mann,52326.39,48270.5,-4055.89
Mediamatiker/in,64242.31,60205.97,-4036.34
Kinomitarbeiter/in,42092.31,38076.92,-4015.39
Küchenverkäufer/in,76015.38,72000,-4015.38
Trockenbauer/in,62153.11,58153.85,-3999.26
Physiotherapeut/in,71606.03,67637.62,-3968.41
Industriedesigner/in,71743.59,67800,-3943.59
Textilpfleger/in,46153.85,42237.36,-3916.49
Umweltingenieur/in,86538.27,82692.31,-3845.96000000001
Produktionstechniker/in,69317.16,65532.69,-3784.47
Reservation Manager/in,57969.23,54276.92,-3692.31000000001
Pricing Manager/in,131923.08,128307.69,-3615.38999999999
Servicefachkraft,49518.15,45958.58,-3559.57
Leiter/in Einkauf,129628.34,126083.08,-3545.25999999999
Operationstechniker/in,89510.26,85986.81,-3523.45
Assistentin/in Tierarztpraxis,48461.54,44938.46,-3523.08
Restaurantfachfrau/mann,50869.23,47400.64,-3468.59
Senior IT Projektleiter/in,132015.38,128582.69,-3432.69
Metzger/in,57845.56,54442.53,-3403.03
Fachkraft für Lagerwirtschaft,54169.23,50769.23,-3400
Bademeister/in,63801.32,60403.83,-3397.49
Postbote/in,56146.15,52801.51,-3344.64
Pflege/r,57468.08,54155.76,-3312.32
Apotheker/in,86281.78,82973.83,-3307.95
Trader/in,132533.33,129230.77,-3302.55999999998
Lehrer/in,85909.9,82610.09,-3299.81
Ingenieur/in,95403.23,92118.17,-3285.06
Maschinenzeichner/in,62930.77,59651.28,-3279.49
Maskenbildner/in,60923.08,57692.31,-3230.77
Fleischereifachverkäufer/in,56307.69,53107.69,-3200
Schneider/in,56928.57,53787.87,-3140.7
Logopäde/in,84000,80859.69,-3140.31
Büromitarbeiter/in,71207.22,68113.98,-3093.24000000001
Gärtner/in,54404.42,51331.47,-3072.95
Qualitätsmanager/in,89416.84,86397.25,-3019.59
Koordinator/in,74949.45,71936.15,-3013.3
Schichtführer/in,73456.41,70500,-2956.41
Bauphysiker/in,88400,85503.3,-2896.7
Supply Chain Manager/in,104631.12,101868.13,-2762.98999999999
Hochbauzeichner/in,61430.77,58713.03,-2717.74
Produktionsleiter/in,87094.67,84384.62,-2710.05
Fachmann/-frau Systemgastronomie,51447.69,48738.46,-2709.23
Sanitäter/in,60738.71,58105.64,-2633.07
Busfahrer/in,66553.52,63929.67,-2623.85000000001
IT Tester/in,98030.77,95423.08,-2607.69
Gruppenleiter/in Kundendienst,84753.85,82153.85,-2600
Webentwickler/in,74594.87,72000,-2594.87
Finance Manager/in,120512.82,117923.08,-2589.74000000001
Patissier/Patissière,52984.62,50400,-2584.62
Webdesigner/in,64706,62180.77,-2525.23
Chef de Service,56823.41,54310.3,-2513.11
Ergotherapeut/in,74820.91,72322.02,-2498.89
Hausmeister/in,63179.05,60718.51,-2460.54
Anlageberater/in,103772.47,101353.85,-2418.62
Techniker/in Medizin,76800,74400,-2400
Junior Software Engineer,78271.91,75923.08,-2348.83
Ingenieur/in Haustechnik,87346.19,85000,-2346.19
Innenarchitekt/in,73217.44,70922.19,-2295.25
Treasurer,121018.57,118724.14,-2294.43000000001
Assistenzarzt/-ärztin,84029.62,81773.97,-2255.64999999999
Fahrer/in,49735.65,47507.69,-2227.96
Callcenteragent/in,45374.96,43159.62,-2215.34
Tischler/in,62164.31,60000,-2164.31
Elektroinstallateur/in,62157.98,60000,-2157.98
Grafikdesigner/in,59364.2,57236.89,-2127.31
Maler/in,59047.4,56921.93,-2125.47
Sachbearbeiter/in,60684.92,58594.72,-2090.2
Redakteur/in,75978.09,73910.05,-2068.03999999999
Augenoptiker/in,56796.15,54731.16,-2064.99
Hörgeräteakustiker/in,77261.54,75230.77,-2030.76999999999
Merchandiser/in,62580,60563.08,-2016.92
Doktorand/in,53891.08,51881.54,-2009.54
Qualitätstechniker/in,78156.21,76153.85,-2002.36
Fachkraft Hauswirtschaft,47211.54,45221.17,-1990.37
Audiotechniker/in,89446.15,87473.77,-1972.37999999999
Krankenschwester/Krankenpfleger,69041.07,67162.63,-1878.44
Supermarkt Angestellte/r,38769.23,36923.08,-1846.15
Touristiker/in,57000,55188.46,-1811.54
Systemtechniker/in,71921.68,70143.69,-1777.98999999999
Angestellte/r,64557.69,62784.62,-1773.07
Bankangestellte/r,76963.2,75200.64,-1762.56
Hotelleriemitarbeiter/in,45046.15,43342.85,-1703.3
Bäcker/in,57207.23,55505.47,-1701.76
Brandschutzbeauftragte/r,99692.31,98000,-1692.31
Logistiker/in,58612.43,56945.34,-1667.09
Fliesenleger/in,59321.51,57692.31,-1629.2
Chauffeur/in,57576.76,55971.92,-1604.84
Volksschullehrer/in,91582.42,90000,-1582.42
Chefmonteur/in,82725.43,81150.46,-1574.96999999999
Sozialversicherungsfachmann/frau,73846.15,72276.92,-1569.23
Aussendienstmitarbeiter/in,81829.94,80330.77,-1499.17
Speditionskauffrau/mann,62388.13,60894.74,-1493.39
Maurer/in,65441.26,63997.44,-1443.82
Zolldeklarant/in,66173.42,64789.59,-1383.83
Assistent/in,63792.62,62429.55,-1363.07
Physiker/in,104726.5,103384.62,-1341.88
Dachdecker/in,59707.99,58380.42,-1327.57
Account Manager/in,90778.34,89452.53,-1325.81
Pilot/in (First Officer),80276.57,78980.77,-1295.8
Journalist/in,78912.97,77679.33,-1233.64
Treuhänder/in,76564.42,75333.33,-1231.09
Fabrikarbeiter/in,42656.64,41427.62,-1229.02
Tierpfleger/in,59592.82,58367.24,-1225.58
Online-Marketing Manager/in,86527.18,85307.69,-1219.48999999999
Fachfrau/mann Behindertenbetreuung,57914.3,56701.46,-1212.84
Reisebürokauffrau/mann,51600,50453.85,-1146.15
SAP Entwickler/in,105103.85,103961.54,-1142.31000000001
Landwirtschaftliche/r Mitarbeiter/in,41548.72,40505,-1043.72
Anästhesie-Schwester/Pfleger,87210.5,86181.82,-1028.67999999999
Förster/in,77633.94,76615.38,-1018.56
PHP Entwickler/in,64246.15,63230.77,-1015.38
Bauzeichner/in,59186.13,58255.41,-930.719999999994
Empfangschef/in,66924,66046.15,-877.850000000006
Banker/in,106076.92,105227.35,-849.569999999992
Drogist/in,51027.69,50192.31,-835.380000000005
Assistent/in Einkauf,67523.08,66747.01,-776.070000000007
Zugbegleiter/in,63631.46,62887.91,-743.549999999996
Friseur/in,48454.85,47719.23,-735.619999999995
Küchenchef/in,68164.36,67430.77,-733.589999999997
Möbelpacker/in,51485.13,50769.23,-715.899999999994
Bildhauer/in,52984.62,52288.55,-696.07
Hebamme,72846.15,72151.75,-694.399999999994
Pferdewirt/in,55500,54838.46,-661.540000000001
Schuhmacher/in,57400,56769.23,-630.769999999997
Dentalhygieniker/in,60923.08,60294.65,-628.43
Masseur/in,49160.56,48596.04,-564.519999999997
Innendienstmitarbeiter/in,65353.85,64793.41,-560.439999999995
Bodenleger/in,59198.31,58707.69,-490.619999999995
Verkaufsassistent/in,52061.54,51576.92,-484.620000000003
Regulatory Affairs Manager/in,106692.31,106221.15,-471.160000000004
Portfolio Manager/in,110464.34,110000,-464.339999999997
Praktikant/in,27400.1,27023.72,-376.379999999997
Abteilungsleiter/in,103760.31,103427.27,-333.039999999994
Category Manager/in Assistenz,77838.46,77538.46,-300
Goldschmied/in,68946.88,68723.46,-223.419999999998
Sachbearbeiter/in Pensionskasse,66010,65803.85,-206.149999999994
Zeichner/in EFZ,57481.73,57292.31,-189.420000000006
Werbetechniker/in,56572.03,56386.81,-185.220000000001
Stewardess/Steward,46217.58,46051.99,-165.590000000004
Coiffeure,44275.21,44141.59,-133.620000000003
Plattenleger/in,62350.76,62227.69,-123.07
Erzieher/in,58341.54,58270.9,-70.6399999999994
Montagekontrolleur/in,100200,100200,0
Ortopäde/in,120000,120000,0
Kamerafrau/mann,56307.69,56307.69,0
IT Prozessbetreuer/in,105887.69,105900,12.3099999999977
Sous-Chef/in,59978.06,60000,21.9400000000023
Medizinische/r Fachangestellte/r,56538.46,56605.72,67.260000000002
IT Beratung,124854.7,125000,145.300000000003
Postangestellte/r,60695.02,60846.68,151.660000000004
Area Manager/in,103461.54,103692.31,230.770000000004
Marketingreferent/in,83420,83654.81,234.809999999998
Objektbetreuer/in,85549.45,85870.09,320.639999999999
Fachfrau/mann für Radiologie,72361.31,72693.05,331.740000000005
Leiter/in Rechnungswesen,135042.74,135384.62,341.880000000005
Sanitär Servicetechniker/in,72822.49,73200,377.509999999995
Kindergärtner/in,60651.58,61037.73,386.150000000001
Personalreferent/in,80769.23,81157.17,387.940000000002
Tax Manager/in,129141.43,129538.46,397.030000000013
Marketing Trainee,51600,52000,400
Lebensmitteltechnologe/in,59259.25,59676.92,417.669999999998
Bilanzbuchhalter/in,88789.71,89256.74,467.029999999999
Business Analyst/in,99538.1,100044.23,506.12999999999
Assistent/in Personal,58476.92,58991.36,514.440000000002
Fachangestellte/r Betreuung,58289.03,58820.41,531.380000000005
Betonbauer/in,59381.54,60000,618.459999999999
Anlagenmechaniker/in,65376.92,66000,623.080000000002
Sozialarbeiter/in,69009.11,69695.13,686.020000000004
Assistenzzahnarzt/ärztin,85318.71,86020.96,702.25
Mediengestalter/in in Digital und Print,73800,74502.56,702.559999999998
Feinwerkoptiker/in,79193.01,79961.54,768.529999999999
Bürokaufmann/Bürokauffrau,58101.54,58959.76,858.220000000001
Mitarbeiter/in Kommunikation,72707.69,73570.26,862.569999999992
Junior Bauleiter/in,63817.29,64707.69,890.400000000002
Chef de Rang,51214.69,52148.38,933.689999999995
Druckausrüster/in,62296.15,63230.77,934.619999999995
Hilfswissenschaftler/in,24500,25476.92,976.919999999998
Entwicklungsingenieur/in,83079.72,84137.54,1057.81999999999
Geomatiker/in,65509.04,66584.62,1075.57999999999
Forschungsassistent/in Universität,85320.51,86410.77,1090.26000000001
Leiter/in Controlling,153846.15,155000,1153.85000000001
Assistenzarzt/ärztin,86355.21,87527.75,1172.53999999999
SAP Berater/in,111423.9,112661.69,1237.79000000001
HR Assistent/in,59729.9,60979.83,1249.93
Hilfsarbeiter/in,44328.96,45600,1271.04
F&B Manager/in,89455.94,90740.81,1284.87
Kaufmännische/r Angestellte/r,59383.03,60786.82,1403.79
Payroll Specialist,97076.92,98523.08,1446.16
Polymechaniker/in,63158.24,64615.38,1457.14
Fitnesstrainer/in,57557.15,59023.98,1466.83
Technische/r Redakteur/in,88784.21,90333.33,1549.12
Rezeptionist/in,48974.19,50576.41,1602.22
KfZ Mechaniker/in,60476.16,62100.8,1624.64
